timestamp,sensor_id,sensor_id_encoded,temperature,temperature_detrended,temperature_scaled,humidity,humidity_detrended,humidity_scaled
2025-02-01 00:00:00,S2,1,24.0,0.0,0.01631103201237532,40.0,0.0,-0.020919013040735145
2025-02-01 01:00:00,S3,2,30.0,3.0,1.304024085620952,40.0,0.0,-0.020919013040735145
2025-02-01 02:00:00,S1,0,24.0,-2.0,-0.842164337060009,50.0,6.666666666666664,1.8808094452078856
2025-02-01 03:00:00,S2,1,24.0,-1.5,-0.6275454947919129,50.0,5.0,1.405377330645731
2025-02-01 04:00:00,S3,2,23.0,-2.0,-0.842164337060009,42.0,-2.3999999999999986,-0.7055412580102385
2025-02-01 05:00:00,S3,2,23.0,-1.8000000000000007,-0.7563168001527709,40.0,-4.399999999999999,-1.2760597954848247
2025-02-01 06:00:00,S2,1,24.0,0.3999999999999986,0.18800610582685157,45.0,-0.3999999999999986,-0.135022720535652
2025-02-01 07:00:00,S3,2,24.0,0.3999999999999986,0.18800610582685157,45.0,0.6000000000000014,0.1502365482016412
2025-02-01 08:00:00,S1,0,24.0,0.3999999999999986,0.18800610582685157,45.0,1.6000000000000014,0.4354958169389344
2025-02-01 09:00:00,S2,1,22.0,-1.3999999999999986,-0.5846217263382931,45.0,1.0,0.26434025569655806
2025-02-01 10:00:00,S1,0,22.0,-1.1999999999999993,-0.49877418943105495,50.0,4.0,1.1201180619084377
2025-02-01 11:00:00,S2,1,23.0,0.0,0.01631103201237532,50.0,3.0,0.8348587931711444
2025-02-01 12:00:00,S3,2,23.0,0.1999999999999993,0.10215856891961345,42.0,-4.399999999999999,-1.2760597954848247
2025-02-01 13:00:00,S1,0,22.0,-0.3999999999999986,-0.15538404180210094,45.0,-1.3999999999999986,-0.4202819892729452
2025-02-01 14:00:00,S1,0,24.0,1.1999999999999993,0.5313962534558055,42.0,-3.799999999999997,-1.1049042342424484
2025-02-01 15:00:00,S1,0,23.0,0.0,0.01631103201237532,50.0,4.200000000000003,1.1771699156558972
2025-02-01 16:00:00,S2,1,30.0,5.600000000000001,2.420042065415052,50.0,4.200000000000003,1.1771699156558972
2025-02-01 17:00:00,S2,1,22.0,-2.1999999999999993,-0.928011873967247,50.0,2.6000000000000014,0.7207550856762276
2025-02-01 18:00:00,S3,2,22.0,-2.1999999999999993,-0.928011873967247,50.0,1.6000000000000014,0.4354958169389344
2025-02-01 19:00:00,S2,1,30.0,4.600000000000001,1.99080438087886,42.0,-6.399999999999999,-1.8465783329594112
2025-02-01 20:00:00,S3,2,22.0,-3.1999999999999993,-1.3572495585034392,45.0,-2.3999999999999986,-0.7055412580102385
2025-02-01 21:00:00,S1,0,22.0,-1.6000000000000014,-0.6704692632455327,40.0,-5.399999999999999,-1.561319064222118
2025-02-01 22:00:00,S2,1,22.0,-1.6000000000000014,-0.6704692632455327,45.0,0.6000000000000014,0.1502365482016412
2025-02-01 23:00:00,S3,2,22.0,-1.6000000000000014,-0.6704692632455327,42.0,-0.7999999999999972,-0.2491264280305689
2025-02-02 00:00:00,S3,2,22.0,0.0,0.01631103201237532,40.0,-2.3999999999999986,-0.7055412580102385
2025-02-02 01:00:00,S1,0,22.0,0.0,0.01631103201237532,50.0,6.600000000000001,1.8617921606254004
2025-02-02 02:00:00,S3,2,22.0,0.0,0.01631103201237532,45.0,0.6000000000000014,0.1502365482016412
2025-02-02 03:00:00,S3,2,22.0,0.0,0.01631103201237532,40.0,-3.3999999999999986,-0.9908005267475317
